"x","y"
-106.009535160906,20.3331916702083
-105.365911799762,18.4972375690608
-101.182359952324,17.2732681682958
-96.5160905840286,15.4373140671483
-94.907032181168,15.7433064173396
-92.3325387365911,14.366340841479
-88.953516090584,13.4483637909052
-87.3444576877234,12.3773905652359
-86.3790226460071,11.0004249893753
-85.2526817640047,9.47046323841905
-83.6436233611442,8.55248618784531
-80.264600715137,7.17552061198471
-78.9773539928486,8.09349766255844
-78.1728247914183,5.95155121121973
-78.6555423122765,3.50361240968976
-79.4600715137068,1.36166595835105
-80.103694874851,0.137696557586068
-81.3909415971394,-2.15724606884828
-80.7473182359952,-3.38121546961325
-81.8736591179976,-5.37016574585635
-79.4600715137068,-8.27709307267318
-78.3337306317044,-10.2660433489163
-76.8855780691299,-11.9490012749681
-76.2419547079857,-13.3259668508287
-76.2419547079857,-14.5499362515937
-72.3802145411204,-17.1508712282193
-72.2193087008343,-18.8338291542711
-82.8390941597139,-18.9868253293668
-104.561382598331,-15.4679133021674
-116.307508939213,-12.1019974500637
-133.363528009535,-10.2660433489163
-145.592371871275,-8.88907777305567
-151.706793802145,-6.90012749681257
-152.189511323004,1.51466213344667
-151.063170441001,8.70548236294093
-147.684147794994,11.1534211644709
-138.029797377831,13.6013599660009
-125.157330154946,17.2732681682958
-117.916567342074,20.1801954951126
-107.779499404052,21.251168720782
